Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
5.3200000000000056;-60.858970642089844;-60.858970642089844
5.3675000000000059;-60.881584167480469;-60.881584167480469
5.4150000000000063;-60.857315063476562;-60.857315063476562
5.4625000000000066;-60.996051788330078;-60.996051788330078
5.5100000000000069;-61.039604187011719;-61.039604187011719
5.5575000000000072;-61.068809509277344;-61.068809509277344
5.6050000000000075;-61.06402587890625;-61.06402587890625
5.6525000000000079;-61.069175720214844;-61.069175720214844
5.7000000000000082;-61.147014617919922;-61.147014617919922
5.7475000000000085;-61.240493774414062;-61.240493774414062
5.7950000000000088;-61.127540588378906;-61.127540588378906
5.8425000000000091;-61.302116394042969;-61.302116394042969
5.8900000000000095;-61.350215911865234;-61.350215911865234
5.9375000000000098;-61.40679931640625;-61.40679931640625
5.9850000000000101;-61.432476043701172;-61.432476043701172
6.0325000000000104;-61.477596282958984;-61.477596282958984
6.0800000000000107;-61.480918884277344;-61.480918884277344
6.127500000000011;-61.630950927734375;-61.630950927734375
6.1750000000000114;-61.624332427978516;-61.624332427978516
6.2225000000000117;-61.575775146484375;-61.575775146484375
6.270000000000012;-61.732624053955078;-61.732624053955078
6.3175000000000123;-61.773181915283203;-61.773181915283203
6.3650000000000126;-61.80950927734375;-61.80950927734375
6.412500000000013;-61.852096557617187;-61.852096557617187
6.4600000000000133;-61.960048675537109;-61.960048675537109
6.5075000000000136;-61.973052978515625;-61.973052978515625
6.5550000000000139;-62.003684997558594;-62.003684997558594
6.6025000000000142;-62.075859069824219;-62.075859069824219
6.6500000000000146;-62.062149047851563;-62.062149047851563
6.6975000000000149;-62.155017852783203;-62.155017852783203
6.7450000000000152;-62.29412841796875;-62.29412841796875
6.7925000000000155;-62.340660095214844;-62.340660095214844
6.8400000000000158;-62.411388397216797;-62.411388397216797
6.8875000000000162;-62.435218811035156;-62.435218811035156
6.9350000000000165;-62.519950866699219;-62.519950866699219
6.9825000000000168;-62.544132232666016;-62.544132232666016
7.0300000000000171;-62.615619659423828;-62.615619659423828
7.0775000000000174;-62.662876129150391;-62.662876129150391
7.1250000000000178;-62.696216583251953;-62.696216583251953
7.1725000000000181;-62.859222412109375;-62.859222412109375
7.2200000000000184;-62.846492767333984;-62.846492767333984
7.2675000000000187;-62.977432250976562;-62.977432250976562
7.315000000000019;-63.148311614990234;-63.148311614990234
7.3625000000000194;-63.237236022949219;-63.237236022949219
7.4100000000000197;-63.232673645019531;-63.232673645019531
7.45750000000002;-63.313739776611328;-63.313739776611328
7.5050000000000203;-63.390739440917969;-63.390739440917969
7.5525000000000206;-63.492115020751953;-63.492115020751953
7.600000000000021;-63.534587860107422;-63.534587860107422
7.6475000000000213;-63.627979278564453;-63.627979278564453
7.6950000000000216;-63.752346038818359;-63.752346038818359
7.7425000000000219;-63.759563446044922;-63.759563446044922
7.7900000000000222;-63.778648376464844;-63.778648376464844
7.8375000000000226;-63.980758666992188;-63.980758666992188
7.8850000000000229;-64.053382873535156;-64.053382873535156
7.9325000000000232;-64.169456481933594;-77.045677185058594
7.9800000000000235;-64.202278137207031;-64.202278137207031
8.027500000000023;-64.384765625;-64.384765625
8.0750000000000224;-64.444732666015625;-64.444732666015625
8.1225000000000218;-64.62750244140625;-64.62750244140625
8.1700000000000212;-64.683425903320313;-64.683425903320313
8.2175000000000207;-64.732711791992188;-64.732711791992188
8.2650000000000201;-65.010368347167969;-65.010368347167969
8.3125000000000195;-64.914512634277344;-72.845802307128906
8.360000000000019;-64.884140014648438;-64.884140014648438
8.4075000000000184;-64.960655212402344;-64.960655212402344
8.4550000000000178;-65.027313232421875;-65.027313232421875
8.5025000000000173;-64.518257141113281;-64.518257141113281
8.5500000000000167;-62.83251953125;-62.83251953125
8.5975000000000161;-63.973114013671875;-63.973114013671875
8.6450000000000156;-65.021415710449219;-65.021415710449219
8.692500000000015;-65.421844482421875;-65.421844482421875
8.7400000000000144;-65.503921508789063;-65.503921508789063
8.7875000000000139;-65.606925964355469;-65.606925964355469
8.8350000000000133;-65.760536193847656;-65.760536193847656
8.8825000000000127;-65.886344909667969;-65.886344909667969
8.9300000000000122;-66.159835815429687;-66.159835815429687
8.9775000000000116;-66.235733032226563;-66.235733032226563
9.025000000000011;-66.735389709472656;-66.735389709472656
