Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
4.5125000000000002;-60.914424896240234;-60.914424896240234
4.5600000000000005;-60.876800537109375;-60.876800537109375
4.6075000000000008;-60.7845458984375;-60.7845458984375
4.6550000000000011;-60.771804809570313;-60.771804809570313
4.7025000000000015;-60.598388671875;-60.598388671875
4.7500000000000018;-60.635066986083984;-60.635066986083984
4.7975000000000021;-60.660892486572266;-60.660892486572266
4.8450000000000024;-60.575088500976563;-60.575088500976563
4.8925000000000027;-60.456645965576172;-60.456645965576172
4.9400000000000031;-60.439285278320313;-60.439285278320313
4.9875000000000034;-60.425601959228516;-60.425601959228516
5.0350000000000037;-60.413211822509766;-60.413211822509766
5.082500000000004;-60.351539611816406;-60.351539611816406
5.1300000000000043;-60.338611602783203;-60.338611602783203
5.1775000000000047;-60.217132568359375;-60.217132568359375
5.225000000000005;-60.157138824462891;-60.157138824462891
5.2725000000000053;-60.161941528320313;-60.161941528320313
5.3200000000000056;-60.167484283447266;-60.167484283447266
5.3675000000000059;-59.987667083740234;-59.987667083740234
5.4150000000000063;-60.021202087402344;-60.021202087402344
5.4625000000000066;-60.047786712646484;-60.047786712646484
5.5100000000000069;-60.036670684814453;-60.036670684814453
5.5575000000000072;-59.97027587890625;-59.97027587890625
5.6050000000000075;-59.985820770263672;-59.985820770263672
5.6525000000000079;-59.951820373535156;-59.951820373535156
5.7000000000000082;-59.947940826416016;-59.947940826416016
5.7475000000000085;-59.899044036865234;-59.899044036865234
5.7950000000000088;-59.890617370605469;-59.890617370605469
5.8425000000000091;-59.875431060791016;-59.875431060791016
5.8900000000000095;-59.846229553222656;-59.846229553222656
5.9375000000000098;-59.884387969970703;-59.884387969970703
5.9850000000000101;-59.857898712158203;-59.857898712158203
6.0325000000000104;-59.887863159179688;-59.887863159179688
6.0800000000000107;-59.775341033935547;-59.775341033935547
6.127500000000011;-59.828342437744141;-59.828342437744141
6.1750000000000114;-59.861907958984375;-59.861907958984375
6.2225000000000117;-59.814964294433594;-59.814964294433594
6.270000000000012;-59.783103942871094;-59.783103942871094
6.3175000000000123;-59.827407836914063;-59.827407836914063
6.3650000000000126;-59.90380859375;-59.90380859375
6.412500000000013;-59.828903198242188;-59.828903198242188
6.4600000000000133;-59.908031463623047;-59.908031463623047
6.5075000000000136;-59.876346588134766;-59.876346588134766
6.5550000000000139;-59.863185882568359;-59.863185882568359
